pdf,feature,live_value,train_mean,train_std,z_score,out_of_distribution
benign_sample.pdf,pdf_size,592.0,0.4859,0.3046,1942.14,True
benign_sample.pdf,avg_stream_size,43.0,0.4739,0.2954,143.97,True
benign_sample.pdf,indirect_obj_count,6.0,0.4953,0.2803,19.64,True
benign_sample.pdf,obj_count_total,5.0,0.4895,0.2748,16.42,True
benign_sample.pdf,endobj_count,5.0,0.5065,0.2819,15.94,True
benign_sample.pdf,obj_count,5.0,0.458,0.2967,15.31,True
benign_sample.pdf,header_valid,1.0,0.4711,0.2828,1.87,False
benign_sample.pdf,colors_count,0.0,0.5306,0.2899,-1.83,False
benign_sample.pdf,objstm_count,0.0,0.524,0.2859,-1.83,False
benign_sample.pdf,uri_count,0.0,0.5443,0.3058,-1.78,False
benign_sample.pdf,js_count,0.0,0.4961,0.2785,-1.78,False
benign_sample.pdf,font_obj_count,1.0,0.4709,0.299,1.77,False
benign_sample.pdf,startxref_count,1.0,0.5075,0.2783,1.77,False
benign_sample.pdf,launch_count,0.0,0.4811,0.2738,-1.76,False
benign_sample.pdf,embedded_file_count,0.0,0.516,0.294,-1.76,False
benign_sample.pdf,endstream_count,1.0,0.501,0.2842,1.76,False
benign_sample.pdf,image_count,0.0,0.5116,0.292,-1.75,False
benign_sample.pdf,action_count,0.0,0.5002,0.2853,-1.75,False
benign_sample.pdf,stream_count,1.0,0.4883,0.2945,1.74,False
benign_sample.pdf,avg_embedded_media_size,0.0,0.5144,0.2963,-1.74,False
benign_sample.pdf,javascript_count,0.0,0.4956,0.2845,-1.74,False
benign_sample.pdf,richmedia_count,0.0,0.4891,0.2806,-1.74,False
benign_sample.pdf,trailer_count,1.0,0.4801,0.2989,1.74,False
benign_sample.pdf,is_encrypted,0.0,0.4985,0.2873,-1.73,False
benign_sample.pdf,obfuscation_count,0.0,0.4963,0.2877,-1.73,False
benign_sample.pdf,metadata_size,0.0,0.489,0.2826,-1.73,False
benign_sample.pdf,jbig2decode_count,0.0,0.5121,0.2956,-1.73,False
benign_sample.pdf,xfa_count,0.0,0.4848,0.2818,-1.72,False
benign_sample.pdf,xref_count,1.0,0.5205,0.2826,1.7,False
benign_sample.pdf,has_text,1.0,0.4978,0.2957,1.7,False
benign_sample.pdf,openaction_count,0.0,0.4816,0.283,-1.7,False
benign_sample.pdf,acroform_count,0.0,0.4769,0.2842,-1.68,False
benign_sample.pdf,title_chars,0.0,0.4945,0.2951,-1.68,False
benign_sample.pdf,submitform_count,0.0,0.4898,0.293,-1.67,False
benign_sample.pdf,aa_count,0.0,0.4853,0.2919,-1.66,False
benign_sample.pdf,filter_count,0.0,0.4486,0.28,-1.6,False
benign_sample.pdf,page_count,1.0,0.5571,0.2949,1.5,False
malicious_sample.pdf,pdf_size,1440.0,0.4859,0.3046,4726.41,True
malicious_sample.pdf,avg_stream_size,20.666666666666668,0.4739,0.2954,68.36,True
malicious_sample.pdf,obj_count_total,14.0,0.4895,0.2748,49.17,True
malicious_sample.pdf,endobj_count,14.0,0.5065,0.2819,47.86,True
malicious_sample.pdf,obj_count,14.0,0.458,0.2967,45.64,True
malicious_sample.pdf,indirect_obj_count,9.0,0.4953,0.2803,30.34,True
malicious_sample.pdf,action_count,4.0,0.5002,0.2853,12.27,True
malicious_sample.pdf,endstream_count,3.0,0.501,0.2842,8.79,False
malicious_sample.pdf,stream_count,3.0,0.4883,0.2945,8.53,False
malicious_sample.pdf,filter_count,2.0,0.4486,0.28,5.54,False
malicious_sample.pdf,xfa_count,2.0,0.4848,0.2818,5.38,False
malicious_sample.pdf,uri_count,2.0,0.5443,0.3058,4.76,False
malicious_sample.pdf,launch_count,1.0,0.4811,0.2738,1.89,False
malicious_sample.pdf,header_valid,1.0,0.4711,0.2828,1.87,False
malicious_sample.pdf,acroform_count,1.0,0.4769,0.2842,1.84,False
malicious_sample.pdf,openaction_count,1.0,0.4816,0.283,1.83,False
malicious_sample.pdf,richmedia_count,1.0,0.4891,0.2806,1.82,False
malicious_sample.pdf,js_count,1.0,0.4961,0.2785,1.81,False
malicious_sample.pdf,font_obj_count,1.0,0.4709,0.299,1.77,False
malicious_sample.pdf,javascript_count,1.0,0.4956,0.2845,1.77,False
malicious_sample.pdf,startxref_count,1.0,0.5075,0.2783,1.77,False
malicious_sample.pdf,embedded_file_count,0.0,0.516,0.294,-1.76,False
malicious_sample.pdf,aa_count,1.0,0.4853,0.2919,1.76,False
malicious_sample.pdf,image_count,0.0,0.5116,0.292,-1.75,False
malicious_sample.pdf,trailer_count,1.0,0.4801,0.2989,1.74,False
malicious_sample.pdf,submitform_count,1.0,0.4898,0.293,1.74,False
malicious_sample.pdf,avg_embedded_media_size,0.0,0.5144,0.2963,-1.74,False
malicious_sample.pdf,metadata_size,0.0,0.489,0.2826,-1.73,False
malicious_sample.pdf,is_encrypted,0.0,0.4985,0.2873,-1.73,False
malicious_sample.pdf,obfuscation_count,0.0,0.4963,0.2877,-1.73,False
malicious_sample.pdf,xref_count,1.0,0.5205,0.2826,1.7,False
malicious_sample.pdf,has_text,0.0,0.4978,0.2957,-1.68,False
malicious_sample.pdf,title_chars,0.0,0.4945,0.2951,-1.68,False
malicious_sample.pdf,objstm_count,1.0,0.524,0.2859,1.66,False
malicious_sample.pdf,jbig2decode_count,1.0,0.5121,0.2956,1.65,False
malicious_sample.pdf,colors_count,1.0,0.5306,0.2899,1.62,False
malicious_sample.pdf,page_count,1.0,0.5571,0.2949,1.5,False
